-0.3 89.8 10
-0.3 89.805 6
-0.3 89.81 12
-0.3 89.815 8
-0.3 89.82 3
-0.3 89.825 3
-0.3 89.83 6
-0.3 89.835 1
-0.3 89.84 7
-0.3 89.845 6
-0.3 89.85 6
-0.3 89.855 5
-0.3 89.86 6
-0.3 89.865 9
-0.3 89.87 10
-0.3 89.875 6
-0.3 89.88 8
-0.3 89.885 3
-0.3 89.89 9
-0.3 89.895 5
-0.3 89.9 9
-0.3 89.905 3
-0.3 89.91 4
-0.3 89.915 5
-0.3 89.92 3
-0.3 89.925 7
-0.3 89.93 6
-0.3 89.935 3
-0.3 89.94 7
-0.3 89.945 5
-0.3 89.95 5
-0.3 89.955 7
-0.3 89.96 7
-0.3 89.965 6
-0.3 89.97 6
-0.3 89.975 6
-0.3 89.98 2
-0.3 89.985 6
-0.3 89.99 12
-0.3 89.995 3
-0.3 90 9
-0.3 90.005 3
-0.3 90.01 3
-0.3 90.015 8
-0.3 90.02 3
-0.3 90.025 5
-0.3 90.03 10
-0.3 90.035 6
-0.3 90.04 9
-0.3 90.045 5
-0.3 90.05 7
-0.3 90.055 4
-0.3 90.06 5
-0.3 90.065 2
-0.3 90.07 4
-0.3 90.075 4
-0.3 90.08 4
-0.3 90.085 4
-0.3 90.09 8
-0.3 90.095 3
-0.3 90.1 10
-0.3 90.105 4
-0.3 90.11 7
-0.3 90.115 9
-0.3 90.12 3
-0.3 90.125 2
-0.3 90.13 8
-0.3 90.135 2
-0.3 90.14 5
-0.3 90.145 1
-0.3 90.15 1
-0.3 90.155 4
-0.3 90.16 5
-0.3 90.165 4
-0.3 90.17 3
-0.3 90.175 4
-0.3 90.18 1
-0.3 90.185 5
-0.3 90.19 5
-0.3 90.195 5
-0.3 90.2 6
-0.3 90.205 4
-0.3 90.21 5
-0.3 90.215 6
-0.3 90.22 7
-0.3 90.225 4
-0.3 90.23 4
-0.3 90.235 5
-0.3 90.24 5
-0.3 90.245 9
-0.3 90.25 6
-0.3 90.255 7
-0.3 90.26 6
-0.3 90.265 8
-0.3 90.27 7
-0.3 90.275 4
-0.3 90.28 3
-0.3 90.285 3
-0.3 90.29 4
-0.3 90.295 5
-0.3 90.3 6
-0.3 90.305 5
-0.3 90.31 6
-0.3 90.315 2
-0.3 90.32 8
-0.3 90.325 4
-0.3 90.33 2
-0.3 90.335 7
-0.3 90.34 7
-0.3 90.345 7
-0.3 90.35 5
-0.3 90.355 5
-0.3 90.36 3
-0.3 90.365 2
-0.3 90.37 8
-0.3 90.375 1
-0.3 90.38 3
-0.3 90.385 5
-0.3 90.39 4
-0.3 90.395 4
-0.3 90.4 6
-0.295 89.8 2
-0.295 89.805 6
-0.295 89.81 6
-0.295 89.815 4
-0.295 89.82 4
-0.295 89.825 5
